URY,PER,CUB,USA,ISL,FIN,FRA,GRC,MAR,ZAF,CMR,SAU,IND,MNG,HKG,JPN,CHN,NZL,FJI
5.8870000000000005,22.41,27.180999999999997,4607.168,1.7009999999999998,51.199,506.615,42.655,11.527999999999999,192.917,1.089,101.459,262.532,4.39,12.49,907.145,1190.965,19.249000000000002,0.483
5.64,23.303,29.345,4735.366,1.902,50.137,481.908,46.657,12.68,199.747,1.5590000000000002,118.07,277.64799999999997,4.961,14.204,933.2389999999999,1304.403,20.313,0.765
5.729,22.416999999999998,30.619,4882.964,1.92,51.825,506.741,47.678000000000004,13.052999999999999,201.891,1.993,115.024,281.539,5.763999999999999,15.714,901.591,1455.2579999999998,18.024,0.7090000000000001
6.2620000000000005,22.219,31.631999999999998,4894.043,1.982,54.236999999999995,530.281,50.818000000000005,15.931,218.68400000000003,1.815,138.004,295.29900000000004,6.277,15.838,953.073,1487.1129999999998,16.495,0.836
5.819,24.063000000000002,31.304000000000002,4716.715999999999,1.861,58.138999999999996,506.084,50.888000000000005,15.915,228.217,3.886,169.24,312.485,6.855,16.6,944.87,1458.8870000000002,17.479,0.792
5.356,24.019000000000002,32.626999999999995,4530.37,1.7469999999999999,51.403999999999996,455.491,50.125,15.827,257.1,5.319,175.303,337.105,6.615,18.617,926.837,1442.7820000000002,16.561,1.077
4.854,23.59,34.421,4301.971,1.5930000000000002,42.977,437.88800000000003,51.508,17.028,280.46,6.316,157.892,347.816,6.712000000000001,19.623,897.41,1570.4679999999998,18.27,0.835
3.804,20.382,30.697,4335.917,1.541,41.464,423.82800000000003,54.788999999999994,17.764,291.93,6.553999999999999,160.835,376.676,6.968999999999999,20.912,880.9119999999999,1655.81,17.998,0.7090000000000001
3.438,20.619,32.437,4468.262,1.8090000000000002,42.147,407.17699999999996,56.284,17.783,315.624,6.053,155.51,385.92900000000003,6.425,22.225,937.072,1802.317,19.337,0.5770000000000001
3.284,19.44,32.405,4484.338,1.621,49.549,402.32099999999997,59.771,17.834,323.89,6.471,172.419,424.256,8.998,22.881,912.403,1951.773,21.858,0.573
3.165,21.753,33.375,4487.856,1.7790000000000001,53.215,387.274,58.273999999999994,18.848,330.526,1.993,204.601,455.06699999999995,9.595,25.526,912.262,2052.242,22.945999999999998,0.598
3.543,25.664,33.733000000000004,4680.834,1.8430000000000002,57.534,379.536,62.576,20.083,328.69599999999997,1.8430000000000002,190.44400000000002,486.06699999999995,10.482000000000001,28.086,902.533,2191.053,24.165,0.47200000000000003
4.7860000000000005,24.986,35.399,4885.590999999999,1.839,52.058,374.48,67.051,21.139,342.69599999999997,2.154,202.248,525.082,11.493,29.285,985.467,2347.763,25.449,0.55
4.853,21.732,35.513000000000005,4948.021,1.895,52.448,392.74199999999996,73.23,22.88,340.75300000000004,7.577999999999999,203.419,576.405,10.459000000000001,30.141,1021.685,2386.885,25.453000000000003,0.625
3.967,20.953000000000003,32.736,5121.179,2.237,56.972,400.86400000000003,83.375,23.041,312.972,0.627,185.485,616.5790000000001,9.89,27.147,1158.515,2420.302,25.455,0.8059999999999999
4.5280000000000005,20.175,28.899,5071.564,2.1180000000000003,55.23,426.26800000000003,83.351,24.322,326.069,0.055999999999999994,267.38599999999997,656.7410000000001,12.120999999999999,28.463,1170.048,2538.924,26.12,0.6629999999999999
5.143,20.311,21.02,5174.670999999999,2.263,54.286,415.62800000000004,84.916,25.531999999999996,301.368,2.7260000000000004,285.074,698.757,10.994000000000002,32.917,1179.751,2657.112,28.114,0.74
